"","condo_name","district","age"
"2948","WATERFRONT KEY","16",6
"2949","WATERFRONT WAVES","16",7
"2950","WATERLOO APARTMENTS","07",NA
"2951","WATERLOO VIEW","07",NA
"2952","WATERMARK @ ROBERTSON QUAY","09",10
"2953","WATERSCAPE AT CAVENAGH","09",4
"2954","WATERTOWN","19",1
"2955","WATERVIEW","18",5
"2956","WATERWOODS","19",2
"2957","WATTEN ESTATE CONDO","11",35
"2958","WATTEN HILL CONDO","11",41
"2959","WATTEN RESIDENCES","11",6
"2960","WEDGEWOOD MANSIONS","15",NA
"2961","WEI MIN GARDEN","16",NA
"2962","WELLINGTON PARK","20",33
"2963","WEMBLY RESIDENCES","19",6
"2964","WESSEX ESTATE","18",NA
"2965","WEST BAY CONDO","05",24
"2966","WEST COAST GARDENS","05",NA
"2967","WEST COAST VILLAGE RESIDENCES","05",NA
"2968","WEST PARK REGENCY","05",NA
"2969","WEST SEA GARDENS","05",NA
"2970","WEST SHORE RESIDENCES","05",4
"2971","WEST-N","05",NA
"2972","WESTCOVE CONDO","05",18
"2973","WESTLAKE GARDENS","20",NA
"2974","WESTMERE","22",19
"2975","WESTMONT","05",8
"2976","WESTPOINT CONDO","05",NA
"2977","WESTRIDGE","05",NA
"2978","WESTSIDE 33","05",11
"2979","WESTVILLE","22",21
"2980","WESTWOOD APARTMENTS","10",46
"2981","WESTWOOD PARK","22",20
"2982","WESTWOOD RESIDENCES","22",0
"2983","WHARTON VALE","09",16
"2984","WHITE HOUSE RESIDENCES","10",5
"2985","WHITE WATER","18",11
"2986","WHITEHAVEN","05",1
"2987","WHITESCAPE","15",6
"2988","WHITESHORES","19",8
"2989","WHITEVILLAS ROW","05",10
"2990","WHITLEY VILLAS","11",6
"2991","WILBY RESIDENCES (BUKIT TIMAH)","10",NA
"2992","WILBY RESIDENCES (CENTRAL)","07",NA
"2993","WILKIE 48","09",20
"2994","WILKIE 80","09",8
"2995","WILKIE 87","09",14
"2996","WILKIE APARTMENT","09",NA
"2997","WILKIE COURT","09",26
"2998","WILKIE REGENCY","09",16
"2999","WILKIE STUDIO RESIDENCES","09",7
"3000","WILKIE VALE","09",NA
"3001","WILKINSON 8","15",10
"3002","WILLYN VILLE","10",NA
"3003","WILMER HOUSE","09",NA
"3004","WILMER LODGE","05",NA
"3005","WILMER PARK","10",NA
"3006","WIMBORNE VILLA","15",NA
"3007","WINDERMERE","23",18
"3008","WINDSOR PARK ESTATE","20",NA
"3009","WINDY HEIGHTS","14",40
"3010","WING FONG COURT","14",21
"3011","WING FONG MANSIONS","14",21
"3012","WING ON LIFE GARDENS","10",36
"3013","WINSOME APARTMENTS","14",NA
"3014","WOLSKEL LODGE","13",20
"3015","WONDER GARDEN","15",NA
"3016","WOO MAN CHEW COURT","16",NA
"3017","WOODGROVE CONDO","25",19
"3018","WOODGROVE ESTATE","25",20
"3019","WOODHAVEN","25",3
"3020","WOODLANDS PARK","25",NA
"3021","WOODLEIGH PARK","13",NA
"3022","WOODSVALE","25",17
"3023","WOODSVILLE 28","13",6
"3024","WOODSVILLE MANSION","13",NA
"3025","WOOLLERTON PARK","10",NA
"3026","WORTHINGTON","15",9
"3027","XIE RONG COURT","13",NA
"3028","YELEY BUILDING","19",NA
"3029","YEW LIAN PARK","20",NA
"3030","YEW MEI GREEN","23",18
"3031","YEW TEE RESIDENCES","23",9
"3032","YGK GARDENS","10",10
"3033","YI KAI COURT","19",NA
"3034","YI MEI GARDEN","19",34
"3035","YISHUN EMERALD","27",16
"3036","YISHUN SAPPHIRE","27",16
"3037","YONG AN PARK","09",32
"3038","YONG SIAK COURT","03",NA
"3039","YUAN CHING ROAD APARTMENTS","22",NA
"3040","YUEN SING MANSION","14",NA
"3041","YUGI GARDEN","16",NA
"3042","YUNNAN GARDENS","22",27
"3043","ZEDGE","11",8
"3044","ZENITH","09",7
"3045","ZEPHYR PARK","16",25
"3046","ZION MANSION","10",NA
