condo_name,top_year,km_mrt
FORTVILLE,2004,0.75 - MOUNTBATTEN
FOUR SEASONS PARK,1994,0.38 - ORCHARD
FRAGRANT GARDENS,1993,0.55 - BARTLEY
FREESIA WOODS,2004,1.02 - CLEMENTI
FRUITION,2008,
FUDU PARK,1990,
FULCRUM,2016,
FUTURA,1976,0.48 - SOMERSET
FUYUEN COURT,1997,
G RESIDENCES,2016,
GABRIEL VILLAS,1995,
GAIA,2015,
GALAXY TOWER,1989,
GALLERY 8,2004,0.95 - EUNOS
GALLOP GABLES,1997,0.16 - FARRER ROAD
GALLOP GREEN,2002,0.23 - FARRER ROAD
GALLOP RIDGE,1994,
GAMBIER COURT,1999,0.51 - FORT CANNING
GAMBIR RIDGE,2015,
GAO MING HUA YUAN,1990,
GARDEN PARK RESIDENCES,2015,
GARDENVILLE,2000,0.86 - STEVENS
GARDENVISTA,2006,0.46 - KING ALBERT PARK
GARLICK VILLE,1996,
GENTLE REFLECTIONS,2009,
GENTLE VILLAS,1996,
GERALD GARDENS,1990,
GERALD PARK,1993,
GERALD RESIDENCE,2001,
GEYLANG HERITAGE,1999,
GILLENIA,2009,
GILSTEAD 38,2001,0.58 - NOVENA
GILSTEAD 68,2012,
GILSTEAD BROOKS,2005,0.64 - NOVENA
GILSTEAD COURT,1978,0.53 - NOVENA
GILSTEAD MANSION,1991,0.45 - NOVENA
GILSTEAD TWO,2014,
GLAMOUR VILLE,2003,
GLASGOW RESIDENCE,2013,
GLENDALE PARK,2000,0.24 - HILLVIEW
GLENTREES,2005,0.92 - DOVER
GLOBAL RESIDENCE @ TIONG BAHRU,2007,
GLOBAL VILLE,2000,
GLOUCESTER MANSIONS,2000,0.3 - NEWTON
GOLD COAST CONDO,1994,
GOLDEN HEIGHTS,2003,0.38 - LORONG CHUAN
GOLDENHILL PARK CONDOMINIUM,2004,0.23 - LORONG CHUAN
GOLDENHILL VILLAS,2005,0.42 - LORONG CHUAN
GOLDLEAF GARDENS,1992,
GOLDLEAF MANSIONS,1993,
GOODLINK PARK,1982,
GOODLUCK GARDEN,1984,
GOODMAN CREST,2012,
GOODWILL MANSION,1984,
GOODWOOD GARDEN,2004,0.51 - NEWTON
GOODWOOD GRAND,2018,
