"","name","type","rent","date"
"403","FAR EAST SQUARE","NA","7.5","18"
"404","SPRING GROVE","Condo","2.11","18"
"405","ELIZABETH TOWERS","Condo","3.5","18"
"406","FAR EAST SQUARE","NA","7","18"
"407","FAR EAST SQUARE","NA","7.5","18"
"408","WATERFALL GARDENS","Condo","4.19","18"
"409","VERDURE","Condo","4.36","18"
"410","KALLANG RIVERSIDE","Condo","4.9","18"
"411","SELETAR PARK RESIDENCE","Condo","2.75","18"
"412","76 SHENTON","Condo","6.09","18"
"413","PATERSON RESIDENCE","NA","3.97","18"
"414","SHARELY WAREHOUSE","NA","1.47","18"
"415","WATERBANK AT DAKOTA","Condo","4.49","18"
"416","QUESTA @ DUNMAN","Condo","2.91","18"
"417","PARC SOPHIA","Condo","4.23","18"
"418","8 RODYK","Condo","3.47","18"
"419"," SIGLAP DRIVE","NA","2.78","18"
"420","8 RODYK","Condo","4.97","18"
"421","SELETAR PARK RESIDENCE","Condo","2.75","18"
"422","76 SHENTON","Condo","6.09","18"
"423","PATERSON RESIDENCE","NA","3.97","18"
"424","SHARELY WAREHOUSE","NA","1.47","18"
"425","WATERBANK AT DAKOTA","Condo","4.49","18"
"426","QUESTA @ DUNMAN","Condo","2.91","18"
"427","PARC SOPHIA","Condo","4.23","18"
"428","8 RODYK","Condo","3.47","18"
"429"," SIGLAP DRIVE","NA","2.78","18"
"430","8 RODYK","Condo","4.97","18"
"431","COASTAL BREEZE RESIDENCES","Condo","1.91","18"
"432","ALANA","NA","2.34","18"
"433","WHITLEY ROAD","NA","1.47","18"
"434","SUITES @ CAIRNHILL","Condo","4.37","18"
"435","SUITES @ CAIRNHILL","Condo","4.64","18"
"436","SUITES @ CAIRNHILL","Condo","5.07","18"
"437","THE COLONNADE","Condo","3.21","18"
"438","WOODGROVE ESTATE","NA","1.54","18"
"439","LOTUS AT PAYA LEBAR (WEST WING)","Condo","3.79","18"
"440","TOWNERVILLE","NA","2.08","18"
"441","ROYAL PALM MANSIONS","Condo","2.77","18"
"442","LOTUS AT JOO CHIAT","Condo","3.02","18"
"443","LOTUS AT JOO CHIAT","Condo","2.81","18"
"444","LOTUS AT JOO CHIAT","Condo","3.42","18"
"445","LOTUS AT JOO CHIAT","Condo","3.59","18"
"446","LOTUS AT JOO CHIAT","Condo","5.1","18"
"447","SEVENTY ST PATRICK'S","Condo","4.29","18"
"448","MENARA BANGKOK BANK","NA","2.79","18"
"449","TIERRA VUE","Condo","3.41","18"
"450","LOTUS AT PAYA LEBAR (WEST WING)","Condo","3","18"
"451","ROYAL PALM MANSIONS","Condo","2.77","18"
"452","LOTUS AT JOO CHIAT","Condo","3.02","18"
"453","LOTUS AT JOO CHIAT","Condo","2.81","18"
"454","LOTUS AT JOO CHIAT","Condo","3.42","18"
"455","LOTUS AT JOO CHIAT","Condo","3.59","18"
"456","LOTUS AT JOO CHIAT","Condo","5.1","18"
"457","SEVENTY ST PATRICK'S","Condo","4.29","18"
"458","MENARA BANGKOK BANK","NA","2.79","18"
"459","TIERRA VUE","Condo","3.41","18"
"460","LOTUS AT PAYA LEBAR (WEST WING)","Condo","3","18"
"461","LOTUS AT PAYA LEBAR (EAST WING)","Condo","3.2","18"
"462","LOTUS AT PAYA LEBAR (EAST WING)","Condo","4.83","18"
"463","LOTUS AT PAYA LEBAR (EAST WING)","Condo","4.49","18"
"464","PUNGGOL TOPAZ","NA","1.94","18"
"465","IPARC@TANJONG PELAPAS","NA","0.52","18"
"466","SOHO SUITES","NA","1.59","18"
"467","SIAK KEW AVENUE","NA","2.2","18"
"468","COMPASS HEIGHTS","Condo","2.35","18"
"469","THE TRILINQ","Condo","3.93","18"
"470","SKY VUE","Condo","4.42","18"
"471","TREESCAPE","Condo","4.87","18"
"472","GOODWOOD GARDEN","Condo","5.17","18"
"473","PREMIER@KAKI BUKIT","NA","2.31","18"
"474","TEMPCO TECHNOMINIUM","NA","3.24","18"
"475","TEMPCO TECHNOMINIUM","NA","3.17","18"
"476","TEMPCO TECHNOMINIUM","NA","3.2","18"
"477","SHOP SPACE FOR RENT!","NA","32.56","18"
"478","ORCHARD SCOTTS","Condo","4.81","18"
"479","ORANGE REGENCY","Condo","3.72","18"
"480","GRANGE 70","Condo","3.03","18"
"481","TREESCAPE","Condo","4.87","18"
"482","GOODWOOD GARDEN","Condo","5.17","18"
"483","PREMIER@KAKI BUKIT","NA","2.31","18"
"484","TEMPCO TECHNOMINIUM","NA","3.24","18"
"485","TEMPCO TECHNOMINIUM","NA","3.17","18"
"486","TEMPCO TECHNOMINIUM","NA","3.2","18"
"487","SHOP SPACE FOR RENT!","NA","32.56","18"
"488","ORCHARD SCOTTS","Condo","4.81","18"
"489","ORANGE REGENCY","Condo","3.72","18"
"490","GRANGE 70","Condo","3.03","18"
"491","CAVENAGH LODGE","Condo","2.57","18"
"492","CABANA","NA","1.61","18"
"493","CHANCERY GROVE","NA","2.49","18"
"494","ALANA","Condo","1.86","18"
"495","TONG ENG BUILDING","NA","5.5","18"
"496","ARDMORE 3","Condo","5.47","18"
"497","CLIVEDEN AT GRANGE","Condo","4.18","18"
"498","HDB @ CHOA CHU KANG","NA","1.67","18"
"499","DUO RESIDENCES","Condo","6.15","18"
"500","HIGH FLOOR 653 HOUGANG AVE 8","NA","1.93","18"
"501","SHANGHAI ONE","Condo","3.38","18"
"502"," KELANTAN LANE","NA","4.5","18"
"503","BENCOOLEN","NA","4.57","18"
"504","HAW PAW VILLA","NA","4.5","18"
"505","ORCHARD ROAD","NA","5.43","18"
"506","GLENDALE PARK","Condo","2.27","18"
"507","MILL POINT","Condo","5.69","18"
"508","PATERSON RESIDENCE","NA","3.97","18"
"509","JURONG WEST SHOPHOUSE","NA","7.1","18"
"510","MONTROSA","Condo","2.17","18"
"511","SHANGHAI ONE","Condo","3.38","18"
"512"," KELANTAN LANE","NA","4.5","18"
"513","BENCOOLEN","NA","4.57","18"
"514","HAW PAW VILLA","NA","4.5","18"
"515","ORCHARD ROAD","NA","5.43","18"
"516","GLENDALE PARK","Condo","2.27","18"
"517","MILL POINT","Condo","5.69","18"
"518","PATERSON RESIDENCE","NA","3.97","18"
"519","JURONG WEST SHOPHOUSE","NA","7.1","18"
"520","MONTROSA","Condo","2.17","18"
"521","DOVER PARKVIEW","Condo","3.31","18"
"522","THE PARC CONDOMINIUM","Condo","2.92","18"
"523","SUNGEI KADUT WAREHOUSE","NA","1","18"
"524","SPANISH VILLAGE","Condo","2.63","18"
"525","THE PIER @ ROBERTSON","Condo","5.05","18"
"526","RICHFIELD INDUSTRIAL CENTRE","NA","1.9","18"
"527","EUNOS TECHPARK 2","NA","2.1","18"
"528","ENTERPRISE ONE","NA","2.4","18"
"529","NEPTUNE COURT","Condo","1.68","18"
"530","FLORAVIEW","Condo","5.5","18"
"531","MARINA ONE RESIDENCES","Condo","5.22","18"
"532","NORDCOM ONE","NA","1.6","18"
